City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Itarema,BR,-2.9248,-39.9167,81.99,80,37,12.28,light rain
286,Iquitos,PE,-3.7481,-73.2472,88.88,59,98,2.26,light rain
287,Richards Bay,ZA,-28.783,32.0377,65.17,89,100,3.0,light rain
288,Noshiro,JP,40.2039,140.0242,37.8,75,0,5.99,clear sky
289,Burnie,AU,-41.0667,145.9167,61.92,83,100,12.75,overcast clouds
290,Sobolevo,RU,54.4299,31.8996,40.55,95,100,11.3,light rain
291,Kirakira,SB,-10.4544,161.9205,80.11,85,99,8.25,overcast clouds
292,Abu Dhabi,AE,24.4667,54.3667,84.31,72,0,2.3,clear sky
293,Inverell,AU,-29.7833,151.1167,63.66,94,8,6.76,clear sky
294,Usinsk,RU,65.9939,57.5281,4.95,98,68,9.69,broken clouds
295,Qaqortoq,GL,60.7167,-46.0333,31.59,72,9,5.77,clear sky
296,Ciudad Guayana,VE,8.3533,-62.6528,90.59,41,100,10.54,overcast clouds
297,Laela,TZ,-8.5667,32.05,60.4,91,27,2.68,scattered clouds
298,Trincomalee,LK,8.5711,81.2335,78.78,83,89,7.18,overcast clouds
299,Nicoya,CR,10.1483,-85.452,92.86,41,100,2.73,overcast clouds
300,Spencer,US,43.1414,-95.1444,41.76,67,65,22.32,broken clouds
301,Stokmarknes,NO,68.5646,14.9108,35.56,51,0,11.5,clear sky
302,Port Hedland,AU,-20.3167,118.5667,78.85,89,7,5.75,clear sky
303,Mahon,ES,39.8885,4.2658,57.76,88,0,11.5,clear sky
304,Ahipara,NZ,-35.1667,173.1667,56.73,82,4,6.08,clear sky
305,Luderitz,NA,-26.6481,15.1594,64.09,63,0,10.89,clear sky
306,Salinopolis,BR,-0.6136,-47.3561,74.77,95,100,4.43,overcast clouds
307,Svetlaya,RU,46.5389,138.3297,30.87,79,15,4.52,few clouds
308,Saldanha,ZA,-33.0117,17.9442,64.08,56,0,14.58,clear sky
309,Katsuura,JP,35.1333,140.3,60.76,70,0,16.37,clear sky
310,Severo-Kurilsk,RU,50.6789,156.125,29.32,78,96,18.57,overcast clouds
311,Boca Do Acre,BR,-8.7522,-67.3978,92.39,49,28,3.47,scattered clouds
312,Inhambane,MZ,-23.865,35.3833,76.48,67,100,20.42,overcast clouds
313,Sambava,MG,-14.2667,50.1667,76.86,90,100,9.51,light rain
314,Tigil,RU,57.8,158.6667,21.97,92,100,5.23,overcast clouds
315,Bathsheba,BB,13.2167,-59.5167,80.35,69,23,17.27,few clouds
316,Fukue,JP,32.6881,128.8419,60.87,62,0,6.08,clear sky
317,Arona,ES,28.0996,-16.681,62.13,58,20,16.11,few clouds
318,Changji,CN,44.0167,87.3167,65.19,42,0,4.47,clear sky
319,Shulan,CN,44.4167,126.95,53.53,65,76,12.71,broken clouds
320,Saint Anthony,US,45.0205,-93.218,45.93,46,94,8.99,overcast clouds
321,Jinzhou,CN,41.1078,121.1417,50.25,78,69,4.14,broken clouds
322,San-Pedro,CI,4.7485,-6.6363,81.97,79,100,9.84,overcast clouds
323,Rundu,NA,-17.9333,19.7667,73.17,54,74,4.18,broken clouds
324,Yulara,AU,-25.2406,130.9889,60.64,41,0,4.61,clear sky
325,Turtas,RU,58.9417,69.1325,26.15,91,99,3.47,overcast clouds
326,Nelson Bay,AU,-32.7167,152.15,66.99,94,90,13.76,overcast clouds
327,Hasaki,JP,35.7333,140.8333,50.4,69,0,18.39,clear sky
328,Tera,NE,14.0078,0.7531,98.1,11,0,5.53,clear sky
329,Macau,MO,22.2006,113.5461,72.86,83,0,11.5,clear sky
330,Constitucion,CL,-35.3333,-72.4167,64.04,71,37,12.8,scattered clouds
331,Mayma,RU,52.0197,85.9114,37.94,89,100,9.64,light rain
332,Zhuanghe,CN,39.7008,122.9911,43.56,95,39,12.12,scattered clouds
333,Harlingen,US,26.1906,-97.6961,81.05,26,0,5.75,clear sky
334,Luau,AO,-10.7073,22.2247,66.02,96,100,3.58,overcast clouds
335,Tadine,NC,-21.55,167.8833,79.72,83,27,16.75,scattered clouds
336,Kodiak,US,57.79,-152.4072,29.44,53,6,10.18,clear sky
337,Svetlyy,RU,54.675,20.1347,41.05,66,100,13.82,overcast clouds
338,Lethem,GY,3.3803,-59.7968,82.02,69,94,10.67,overcast clouds
339,Bethel,US,41.3712,-73.414,62.47,55,25,10.18,scattered clouds
340,Mayo,US,38.8876,-76.5119,65.34,44,40,20.0,scattered clouds
341,Kristiinankaupunki,FI,62.2743,21.376,32.14,84,35,16.71,scattered clouds
342,Roma,US,43.2128,-75.4557,56.95,51,99,7.0,overcast clouds
